,week,dept,sales,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Temperature,Fuel_Price,CPI,Unemployment,Next week
288290,2010-08-10,3,638.57,0,0.0,0.0,0.0,0.0,0.0,65.76,2.633,211.4044906,8.163,
288357,2010-10-15,3,622.2,0,0.0,0.0,0.0,0.0,0.0,68.61,2.72,211.4713286,8.163,
288411,2010-10-22,3,782.63,0,0.0,0.0,0.0,0.0,0.0,70.72,2.725,211.5187208,8.163,
288462,2010-10-29,3,754.73,0,0.0,0.0,0.0,0.0,0.0,67.51,2.716,211.5661131,8.163,
288511,2010-05-11,3,719.3,0,0.0,0.0,0.0,0.0,0.0,58.71,2.6889999999999996,211.61350530000004,8.163,
288563,2010-12-11,3,663.68,0,0.0,0.0,0.0,0.0,0.0,60.95,2.728,211.6608975,8.163,
288596,2010-11-19,3,662.08,0,0.0,0.0,0.0,0.0,0.0,51.71,2.7710000000000004,211.5470304,8.163,
288628,2010-11-26,3,546.32,1,0.0,0.0,0.0,0.0,0.0,62.96,2.735,211.4062867,8.163,
288697,2010-03-12,3,1029.37,0,0.0,0.0,0.0,0.0,0.0,50.43,2.708,211.265543,8.163,
288732,2010-10-12,3,758.54,0,0.0,0.0,0.0,0.0,0.0,46.35,2.843,211.12479930000003,8.163,
288786,2010-12-17,3,989.36,0,0.0,0.0,0.0,0.0,0.0,48.63,2.8689999999999998,211.06454580000002,8.163,
288834,2010-12-24,3,759.34,0,0.0,0.0,0.0,0.0,0.0,51.29,2.886,211.06465989999998,8.163,
288874,2010-12-31,3,381.6,1,0.0,0.0,0.0,0.0,0.0,47.19,2.943,211.06477400000003,8.163,
288917,2011-07-01,3,686.61,0,0.0,0.0,0.0,0.0,0.0,44.24,2.9760000000000004,211.06488810000002,8.027999999999999,
288971,2011-01-14,3,718.93,0,0.0,0.0,0.0,0.0,0.0,34.14,2.983,211.1176713,8.027999999999999,
289055,2011-01-21,3,981.0,0,0.0,0.0,0.0,0.0,0.0,42.72,3.016,211.48646910000002,8.027999999999999,
289086,2011-01-28,3,757.39,0,0.0,0.0,0.0,0.0,0.0,44.04,3.01,211.8552668,8.027999999999999,
289118,2011-04-02,3,552.16,0,0.0,0.0,0.0,0.0,0.0,36.33,2.989,212.22406459999996,8.027999999999999,
289172,2011-11-02,3,783.31,1,0.0,0.0,0.0,0.0,0.0,34.61,3.022,212.59286239999997,8.027999999999999,
289226,2011-02-18,3,739.51,0,0.0,0.0,0.0,0.0,0.0,59.87,3.045,212.90331150000003,8.027999999999999,
289270,2011-02-25,3,821.06,0,0.0,0.0,0.0,0.0,0.0,61.27,3.065,213.190421,8.027999999999999,
289344,2011-04-03,3,784.84,0,0.0,0.0,0.0,0.0,0.0,59.52,3.2880000000000003,213.47753050000003,8.027999999999999,
289389,2011-11-03,3,727.92,0,0.0,0.0,0.0,0.0,0.0,54.69,3.4589999999999996,213.7646401,8.027999999999999,
289449,2011-03-18,3,461.05,0,0.0,0.0,0.0,0.0,0.0,63.26,3.488,214.0156238,8.027999999999999,
289491,2011-03-25,3,769.81,0,0.0,0.0,0.0,0.0,0.0,70.33,3.4730000000000003,214.25215730000002,8.027999999999999,
289532,2011-01-04,3,790.46,0,0.0,0.0,0.0,0.0,0.0,56.36,3.5239999999999996,214.48869080000003,7.931,
289574,2011-08-04,3,864.54,0,0.0,0.0,0.0,0.0,0.0,68.62,3.622,214.7252242,7.931,
289618,2011-04-15,3,779.43,0,0.0,0.0,0.0,0.0,0.0,71.01,3.7430000000000003,214.9420631,7.931,
289682,2011-04-22,3,710.24,0,0.0,0.0,0.0,0.0,0.0,70.79,3.807,215.10966569999997,7.931,
289768,2011-04-29,3,575.19,0,0.0,0.0,0.0,0.0,0.0,70.19,3.81,215.27726830000003,7.931,
289815,2011-06-05,3,911.42,0,0.0,0.0,0.0,0.0,0.0,61.87,3.906,215.44487090000004,7.931,
289873,2011-05-13,3,655.67,0,0.0,0.0,0.0,0.0,0.0,75.04,3.8989999999999996,215.6124735,7.931,
289923,2011-05-20,3,574.59,0,0.0,0.0,0.0,0.0,0.0,68.36,3.907,215.38347779999998,7.931,
289949,2011-05-27,3,680.15,0,0.0,0.0,0.0,0.0,0.0,76.86,3.786,215.15448219999996,7.931,
290016,2011-03-06,3,571.21,0,0.0,0.0,0.0,0.0,0.0,83.82,3.699,214.92548650000003,7.931,
290054,2011-10-06,3,428.43,0,0.0,0.0,0.0,0.0,0.0,84.71,3.648,214.69649080000002,7.931,
290113,2011-06-17,3,413.59,0,0.0,0.0,0.0,0.0,0.0,87.54,3.637,214.6513538,7.931,
290167,2011-06-24,3,432.05,0,0.0,0.0,0.0,0.0,0.0,85.72,3.594,214.7441108,7.931,
290227,2011-01-07,3,388.23,0,0.0,0.0,0.0,0.0,0.0,87.57,3.5239999999999996,214.83686780000002,7.852,
290262,2011-08-07,3,537.19,0,0.0,0.0,0.0,0.0,0.0,89.16,3.48,214.9296249,7.852,
290320,2011-07-15,3,847.93,0,0.0,0.0,0.0,0.0,0.0,91.05,3.575,215.0134426,7.852,
290365,2011-07-22,3,945.34,0,0.0,0.0,0.0,0.0,0.0,90.27,3.6510000000000002,215.0749122,7.852,
290419,2011-07-29,3,837.31,0,0.0,0.0,0.0,0.0,0.0,91.56,3.682,215.1363819,7.852,
290455,2011-05-08,3,989.69,0,0.0,0.0,0.0,0.0,0.0,94.22,3.6839999999999997,215.1978515,7.852,
290525,2011-12-08,3,1120.29,0,0.0,0.0,0.0,0.0,0.0,92.32,3.638,215.25932110000002,7.852,
290570,2011-08-19,3,1899.7,0,0.0,0.0,0.0,0.0,0.0,90.11,3.554,215.3229307,7.852,
290622,2011-08-26,3,3048.66,0,0.0,0.0,0.0,0.0,0.0,92.07,3.523,215.38689700000003,7.852,
290685,2011-02-09,3,1195.3,0,0.0,0.0,0.0,0.0,0.0,91.94,3.533,215.4508632,7.852,
290748,2011-09-09,3,675.33,1,0.0,0.0,0.0,0.0,0.0,78.87,3.5460000000000003,215.5148295,7.852,
290792,2011-09-16,3,507.58,0,0.0,0.0,0.0,0.0,0.0,80.62,3.5260000000000002,215.6944378,7.852,
290850,2011-09-23,3,543.64,0,0.0,0.0,0.0,0.0,0.0,75.68,3.467,216.02823560000002,7.852,
290885,2011-09-30,3,557.17,0,0.0,0.0,0.0,0.0,0.0,78.91,3.355,216.3620333,7.852,
290923,2011-07-10,3,582.26,0,0.0,0.0,0.0,0.0,0.0,71.64,3.285,216.69583109999996,7.441,
290954,2011-10-14,3,571.72,0,0.0,0.0,0.0,0.0,0.0,69.79,3.2739999999999996,217.0048261,7.441,
290999,2011-10-21,3,530.11,0,0.0,0.0,0.0,0.0,0.0,65.16,3.353,217.1650042,7.441,
291074,2011-10-28,3,645.52,0,0.0,0.0,0.0,0.0,0.0,65.46,3.372,217.3251824,7.441,
291119,2011-04-11,3,608.16,0,0.0,0.0,0.0,0.0,0.0,56.01,3.332,217.48536049999998,7.441,
291181,2011-11-11,3,483.87,0,42.28,276.94,14.54,0.0,3508.88,59.8,3.2969999999999997,217.6455387,7.441,
291226,2011-11-18,3,606.1,0,679.88,97.38,0.0,38.35,1143.98,61.9,3.3080000000000003,217.86702180000003,7.441,
291285,2011-11-25,3,377.6,1,19.97,0.0,0.0,0.0,477.74,56.43,3.236,218.1130269,7.441,
291335,2011-02-12,3,686.92,0,23.47,0.0,4.7,0.0,1257.19,48.72,3.1719999999999997,218.35903190000002,7.441,
291387,2011-09-12,3,870.96,0,1.5,0.0,3.41,0.0,1774.78,41.44,3.158,218.605037,7.441,
291444,2011-12-16,3,757.22,0,0.0,0.0,11.1,0.0,602.44,50.56,3.159,218.82179280000003,7.441,
291487,2011-12-23,3,858.26,0,245.83,0.0,12.5,2.52,2951.23,46.54,3.112,218.9995495,7.441,
291536,2011-12-30,3,348.64,1,782.67,2027.77,0.0,35.28,239.99,45.16,3.1289999999999996,219.1773063,7.441,
291599,2012-06-01,3,668.13,0,594.21,1905.66,91.16,4.92,855.1,48.1,3.157,219.355063,7.057,
291649,2012-01-13,3,739.3,0,157.23,452.88,51.64,0.0,916.52,45.0,3.261,219.53281980000003,7.057,
291687,2012-01-20,3,898.93,0,1084.35,3.47,36.96,0.0,344.93,52.21,3.2680000000000002,219.6258417,7.057,
291745,2012-01-27,3,751.53,0,246.62,0.0,49.06,42.84,421.39,50.79,3.29,219.7188636,7.057,
291791,2012-03-02,3,679.54,0,843.22,2.82,64.81,192.66,2393.21,55.83,3.36,219.81188540000002,7.057,
291852,2012-10-02,3,730.76,1,2098.64,4.0,52.55,0.0,1923.82,46.52,3.409,219.90490730000002,7.057,
291893,2012-02-17,3,691.59,0,95.88,745.13,11.88,0.0,2043.43,45.03,3.51,220.06519930000002,7.057,
291947,2012-02-24,3,603.68,0,1192.83,557.62,0.0,13.5,1342.2,54.81,3.555,220.27594399999998,7.057,
291982,2012-02-03,3,576.23,0,1080.76,0.02,1.39,63.5,1031.3,59.3,3.63,220.4866886,7.057,
292026,2012-09-03,3,667.75,0,639.83,0.0,0.49,144.18,3286.61,57.16,3.6689999999999996,220.6974332,7.057,
292087,2012-03-16,3,355.54,0,301.14,0.0,0.0,0.0,2536.55,63.39,3.734,220.84984680000002,7.057,
292164,2012-03-23,3,599.86,0,349.9,0.5,0.34,0.0,2099.05,62.96,3.787,220.9244858,7.057,
292216,2012-03-30,3,554.77,0,380.37,0.5,0.0,0.0,1080.75,67.87,3.845,220.9991248,7.057,
292266,2012-06-04,3,614.21,0,21.39,0.0,4.09,0.0,2364.16,69.02,3.891,221.07376380000002,6.891,
292309,2012-04-13,3,698.37,0,48.96,856.15,12.0,0.0,699.85,69.03,3.891,221.14840279999999,6.891,
292371,2012-04-20,3,638.87,0,72.85,692.6,0.7,0.0,369.74,66.97,3.877,221.2021074,6.891,
292418,2012-04-27,3,669.13,0,60.07,0.0,3.21,0.0,1112.14,69.21,3.8139999999999996,221.25581200000002,6.891,
292445,2012-04-05,3,685.32,0,1136.36,0.0,19.09,14.33,2003.64,77.53,3.7489999999999997,221.30951659999997,6.891,
292479,2012-11-05,3,717.23,0,701.89,0.0,2.28,0.0,1487.23,74.14,3.688,221.36322119999997,6.891,
292533,2012-05-18,3,511.62,0,57.13,0.0,0.0,0.0,857.91,72.42,3.63,221.380331,6.891,
292582,2012-05-25,3,550.57,0,175.64,0.0,0.0,0.0,2534.54,79.49,3.5610000000000004,221.3828029,6.891,
292661,2012-01-06,3,552.94,0,553.39,0.0,0.0,0.0,7048.24,79.24,3.5010000000000003,221.38527480000002,6.891,
292710,2012-08-06,3,449.08,0,359.6,0.0,3.75,0.0,3721.71,79.47,3.452,221.38774669999998,6.891,
292760,2012-06-15,3,482.25,0,370.16,0.0,3.01,10.16,1042.83,81.51,3.3930000000000002,221.4009901,6.891,
292810,2012-06-22,3,435.21,0,292.53,0.0,0.0,0.0,3749.16,81.78,3.346,221.4411622,6.891,
292854,2012-06-29,3,495.64,0,57.9,0.0,0.0,0.0,1773.54,88.05,3.286,221.48133430000004,6.891,
292905,2012-06-07,3,492.41,0,799.32,0.0,2.35,2.96,2510.56,85.26,3.227,221.52150640000002,6.565,
292950,2012-07-13,3,530.96,0,200.86,0.0,4.08,0.0,7547.27,82.51,3.2560000000000002,221.5616784,6.565,
292994,2012-07-20,3,681.02,0,164.49,0.0,2.82,0.0,2012.83,84.25,3.3110000000000004,221.5701123,6.565,
293048,2012-07-27,3,547.41,0,92.13,0.0,0.24,0.0,3727.76,88.09,3.407,221.5785461,6.565,
293078,2012-03-08,3,897.58,0,283.01,0.0,2.46,1.88,2833.5,91.57,3.417,221.58697990000002,6.565,
293143,2012-10-08,3,1040.45,0,971.97,0.0,1.03,52.96,2168.04,89.57,3.4939999999999998,221.59541380000002,6.565,
293174,2012-08-17,3,1044.35,0,168.82,0.0,2.13,0.0,1321.3,85.55,3.571,221.67514590000002,6.565,
293215,2012-08-24,3,1235.69,0,338.75,0.0,6.52,10.05,1731.98,77.72,3.62,221.80835180000003,6.565,
293260,2012-08-31,3,2344.2,0,394.74,0.0,4.9,134.07,1892.82,83.58,3.638,221.94155759999998,6.565,
293324,2012-07-09,3,940.9,1,223.74,0.0,124.14,33.14,1987.38,88.4,3.73,222.0747635,6.565,
293401,2012-09-14,3,555.68,0,1085.92,0.0,29.23,0.0,2115.61,76.1,3.717,222.2174395,6.565,
293445,2012-09-21,3,755.57,0,1046.34,0.0,0.0,69.2,1258.49,71.54,3.721,222.41693619999998,6.565,
293487,2012-09-28,3,543.55,0,212.08,0.0,0.0,0.0,1525.32,80.38,3.6660000000000004,222.61643289999998,6.565,
293541,2012-05-10,3,540.56,0,0.0,0.0,3.02,0.0,755.8,70.28,3.617,222.8159296,6.17,
293602,2012-12-10,3,553.78,0,15.88,0.0,5.2,0.0,3374.4,61.53,3.6010000000000004,223.01542630000003,6.17,
293651,2012-10-19,3,708.15,0,37.11,0.0,0.15,0.0,1030.33,68.52,3.594,223.0598077,6.17,
293697,2012-10-26,3,628.68,0,150.46,1.75,0.0,0.0,367.83,70.5,3.5060000000000002,223.0783366,6.17,
